feature1	feature2	r
CD4+CCR5+_Raw	CD8+Effector Memory_Raw	0.1422
CD4+CCR5+_Raw	CD8+Effector Memory TD_Raw	-0.1386
CD4+CCR5+_Raw	CD8+FoxP3+CD25+_Raw	0.0463
CD4+CCR5+_Raw	CD8+Va7.2+CD161+_Raw	0.0015
CD4+CCR5+_Raw	CD8+Naïve_Raw	-0.2807
CD4+CCR5+_Raw	CD8+PD1+_Raw	-0.0267
CD4+CCR5+_Raw	CD8+PDL1+_Raw	0.0035
CD4+CCR5+_Raw	CD8+CD38+HLA-DR+_Raw	0.0516
CD4+CCR5+_Raw	CD8+CD38+HLA-DR-_Raw	0.043
B cells (% of CD3- CD45+)_Raw	CD4+CCR5+_Raw	-0.0093
CD4+CCR5+_Raw	NK cells (% of CD3- CD45+)_Raw	0.0757
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+CCR5+_Raw	-0.2036
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+CCR5+_Raw	0.0112
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+CCR5+_Raw	-0.0943
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+CCR5+_Raw	0.0937
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+CCR5+_Raw	-0.0312
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+CCR5+_Raw	-0.0185
CD4+CD25+_Raw	CD4+CD40+_Raw	-0.0185
CD4+CD25+_Raw	CD4+CD69+_Raw	-0.0546
CD4+CD25+_Raw	CD4+CD90+_Raw	0.0031
CD4+CD103+_Raw	CD4+CD25+_Raw	-0.0045
CD4+CD127+_Raw	CD4+CD25+_Raw	0.0362
CD4+CD161+_Raw	CD4+CD25+_Raw	0.1894
CD4+CD25+_Raw	CD4+CTLA4+_Raw	0.1431
CD4+CD25+_Raw	CD4+FoxP3+CD25+_Raw	0.0749
CD4+CD25+_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	0.0754
CD4+CD25+_Raw	CD4+Va7.2+CD161+_Raw	-0.0085
CD4+CD25+_Raw	CD4+PD1+_Raw	0.3607
CD4+ Central Memory_Raw	CD4+CD25+_Raw	0.1651
CD4+ Effector Memory_Raw	CD4+CD25+_Raw	-0.2026
CD4+ Effector Memory TD_Raw	CD4+CD25+_Raw	-0.2097
CD4+ Naïve_Raw	CD4+CD25+_Raw	-0.1032
CD4+CD25+_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	0.0386
CD4+CD25+_Raw	CD4+CD38+HLA-DR+_Raw	0.0638
CD4+CD25+_Raw	CD4+CD38+HLA-DR-_Raw	-0.1467
CD4+CD25+_Raw	CD4-CD8-_Raw	-0.022
CD4+CD25+_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	0.0013
CD3+CD8+_Raw	CD4+CD25+_Raw	0.1693
CD4+CD25+_Raw	CD8+CD25+_Raw	0.372
CD4+CD25+_Raw	CD8+CD40+_Raw	-0.0106
CD4+CD25+_Raw	CD8+CD69+_Raw	-0.0424
CD4+CD25+_Raw	CD8+CD90+_Raw	-0.0711
CD4+CD25+_Raw	CD8+CD103+_Raw	-0.0694
CD4+CD25+_Raw	CD8+CD127+_Raw	0.241
CD4+CD25+_Raw	CD8+ Central Memory_Raw	0.2066
