,02d06,Alistipes,Anaerococcus,Anaerofilum,Anaerovibrio,Bacteroides,Bilophila,Blautia,Butyricicoccus,Butyricimonas,CF231,Campylobacter,Clostridium,Collinsella,Coprococcus,Corynebacterium,Desulfovibrio,Dialister,Dorea,Faecalibacterium,Finegoldia,Lachnospira,Lactococcus,Megasphaera,Mogibacterium,Oscillospira,Parabacteroides,Paraprevotella,Peptoniphilus,Phascolarctobacterium,Prevotella,Roseburia,Ruminococcus,SMB53,Saccharopolyspora,Sarcina,Slackia,Streptococcus,Succinivibrio,Sutterella,Turicibacter,WAL_1855D,[Eubacterium],[Prevotella],[Ruminococcus],NA,Anaerofustis,Bifidobacterium,Catenibacterium,Dehalobacterium,Gemmiger,Mitsuokella,Shuttleworthia,Veillonella,Victivallis,Aggregatibacter,Lactobacillus,Selenomonas,[Clostridium],Acidaminococcus,Butyrivibrio,Fusobacterium,Methanosphaera,Odoribacter,Rothia,Peptococcus,Shigella,Actinomyces,Christensenella,Methanobrevibacter,Oxalobacter,Succinispira,cc_115,Akkermansia,Brachyspira,Helicobacter,Anaerostipes,Lachnobacterium,Enterococcus,rc4-4,Barnesiella,Weissella,Anaerorhabdus,Holdemania,Porphyromonas,Succiniclasticum,Serratia,Alloscardovia,Bulleidia,Leptotrichia,Oribacterium,p-75-a5,Flexispira,Pseudobutyrivibrio,RFN20,Haemophilus,Herbaspirillum,Atopobium,Adlercreutzia,Anaerotruncus,Coprobacillus,Gardnerella,Ralstonia,Eggerthella,Pseudomonas,Jan-68,Gallicola,Peptostreptococcus,ph2,Candidatus Arthromitus,Staphylococcus,Lactonifactor,Subdoligranulum,Pseudoramibacter_Eubacterium,Epulopiscium,Pediococcus,Haloferula,Varibaculum,Synergistes,Cloacibacillus,Defluviitalea,Macellibacteroides,Sneathia,Parvimonas,Mobiluncus,Mycoplasma,Sporobacter,Sharpea,Actinobacillus,vadinCA11,AF12,Anaeroplasma,Gemella,Lachnoanaerobaculum,Moryella,Leuconostoc,Megamonas,Pyramidobacter,Granulicatella,Geobacillus,Lautropia,Aerococcus,Morganella,Ureaplasma,Scardovia,Proteus,Actinobaculum,Streptobacillus,Blvii28,Neisseria,Abiotrophia,Methanomassiliicoccus,Sporanaerobacter,Arcanobacterium,Brevibacterium,GW-34,Nesterenkonia,Acinetobacter,Marvinbryantia,Bacillus,YRC22,Asteroleplasma
DM028-1,NA,65,NA,NA,NA,1883,NA,814,14,5,NA,NA,1068,14,436,2,NA,5,113,1174,NA,112,5,NA,NA,13,119,NA,NA,32,3,1818,90,5,NA,NA,NA,334,NA,54,9,NA,2,NA,37,3552,NA,564,1,NA,259,NA,42,25,NA,109,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,120,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM028-2,2,260,NA,1,NA,2338,NA,962,21,2,NA,NA,314,12,742,NA,NA,46,64,1789,NA,176,NA,2,NA,31,102,NA,NA,29,NA,807,704,1,NA,NA,NA,75,NA,46,NA,NA,NA,NA,29,2617,NA,425,6,NA,861,NA,16,9,NA,61,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,31,313,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM028-3,2,586,NA,NA,NA,3014,NA,612,8,8,NA,NA,281,23,689,NA,NA,146,44,1583,NA,225,2,NA,NA,38,139,NA,NA,11,7,629,930,NA,NA,NA,NA,44,NA,90,10,NA,3,NA,16,2643,NA,274,NA,NA,658,NA,5,5,NA,9,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,18,125,3,NA,10,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM029-1,NA,821,33,NA,NA,4858,151,423,NA,146,NA,9,215,5,368,9,NA,23,32,295,15,43,NA,NA,NA,95,297,NA,28,48,137,192,994,NA,NA,NA,NA,55,NA,822,3,13,1,NA,113,1480,NA,31,NA,1,42,NA,NA,1,NA,NA,92,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,893,NA,NA,13,NA,NA,1,NA,NA,NA,NA,47,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,NA,NA,3,NA,6,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM029-2,NA,707,NA,NA,NA,4978,41,452,NA,57,NA,NA,204,3,494,NA,NA,NA,35,795,NA,56,NA,NA,NA,100,629,NA,NA,147,13,622,942,22,NA,NA,NA,20,NA,192,16,NA,NA,NA,58,1447,2,306,NA,2,51,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498,NA,NA,11,NA,NA,5,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM029-3,NA,831,NA,NA,NA,4876,69,397,NA,191,NA,12,282,2,362,NA,NA,NA,20,603,1,58,1,NA,NA,73,606,NA,NA,54,6,476,460,4,NA,NA,NA,9,NA,223,3,NA,45,2,109,1675,NA,209,NA,NA,61,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1144,NA,NA,25,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM030-1,NA,606,NA,NA,NA,6596,47,299,NA,NA,NA,1,19,29,477,NA,NA,102,27,879,NA,118,NA,NA,NA,33,703,512,1,NA,2,65,192,NA,NA,NA,NA,26,NA,624,5,NA,16,1,188,1044,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM030-2,NA,855,NA,NA,NA,3073,19,482,2,NA,NA,NA,61,26,837,NA,31,445,11,1309,NA,145,NA,NA,NA,46,646,713,3,NA,5,120,990,32,NA,NA,NA,6,NA,128,19,NA,33,NA,91,1881,NA,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,82,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM031-1,NA,1583,3,NA,NA,1685,66,660,NA,NA,NA,NA,72,13,570,NA,NA,310,35,239,2,4,3,NA,NA,833,78,NA,NA,NA,69,33,1549,NA,NA,NA,NA,79,NA,51,24,3,12,NA,63,1299,2,930,NA,NA,585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,10,NA,1,1978,NA,NA,11,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,18,NA,NA,NA,13,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM031-2,NA,1078,NA,NA,NA,3185,139,373,NA,NA,NA,NA,61,NA,331,NA,NA,464,31,415,NA,59,1,NA,NA,268,656,NA,NA,NA,1802,181,252,NA,NA,NA,NA,3,NA,602,4,NA,NA,NA,69,813,NA,225,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1835,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM031-3,NA,1332,1,NA,NA,4176,89,300,NA,NA,NA,NA,112,9,516,NA,NA,269,30,666,NA,54,NA,NA,NA,385,453,NA,NA,NA,114,148,279,3,NA,84,NA,4,1,195,5,NA,2,NA,76,951,NA,141,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2360,NA,NA,7,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM032-1,11,NA,NA,NA,49,36,NA,309,NA,27,94,15,12,34,182,NA,50,77,90,1071,NA,97,NA,NA,9,320,33,3,NA,64,4159,88,138,6,NA,NA,NA,27,1527,223,NA,NA,195,75,56,2619,NA,8,918,NA,56,9,NA,NA,NA,NA,3,NA,NA,NA,104,NA,NA,4,3,5,NA,2,NA,2,3,NA,NA,NA,1,NA,7,74,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,7,NA,3,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM032-2,7,NA,NA,NA,1,68,4,103,NA,125,179,NA,13,22,184,NA,148,49,77,322,NA,17,NA,NA,44,822,336,144,NA,378,2497,3,251,NA,NA,NA,6,3,1530,89,NA,NA,106,285,70,4490,NA,NA,326,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,1,NA,6,2,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,NA,14,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM033-1,NA,7,NA,NA,NA,22,NA,3381,23,NA,NA,NA,49,34,1452,3,9,NA,337,86,NA,12,4,325,159,19,13,NA,NA,85,68,478,19,NA,NA,NA,1,71,NA,NA,32,NA,1809,37,568,832,NA,20,2909,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM033-2,NA,NA,NA,NA,NA,128,2,931,46,NA,NA,NA,63,51,461,NA,12,NA,185,249,NA,93,113,30,97,28,29,2,NA,263,414,732,34,NA,NA,NA,6,386,NA,20,NA,NA,1886,123,768,881,NA,4,4331,NA,6,NA,NA,87,NA,NA,117,1,NA,NA,NA,232,NA,2,36,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,13,NA,2,NA,NA,NA,NA,NA,NA,19,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM034-1,NA,25,4,1,NA,2073,72,694,NA,6,NA,1,306,83,528,1,NA,883,93,1240,6,40,NA,NA,99,122,651,NA,4,NA,993,327,485,1,NA,NA,NA,9,NA,NA,4,1,843,485,53,2683,NA,NA,15,NA,26,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,13,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,9,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM034-2,NA,103,NA,3,NA,2395,64,678,NA,4,NA,NA,158,60,356,2,NA,787,35,1948,1,33,NA,NA,40,195,232,NA,1,NA,1200,662,507,3,NA,NA,NA,14,1,2,5,4,1134,309,33,1742,NA,1,8,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM034-3,NA,87,NA,NA,NA,1220,45,788,NA,NA,NA,NA,251,204,446,NA,NA,1073,69,1847,NA,19,5,1,77,108,121,NA,NA,NA,309,605,725,23,NA,NA,NA,28,1,NA,14,1,2372,65,55,2183,NA,5,8,NA,109,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM035-1,NA,150,NA,NA,NA,987,6,466,12,22,NA,NA,164,106,308,NA,314,346,182,1136,NA,14,3,1,89,531,320,6,NA,NA,821,1167,409,NA,NA,NA,8,10,NA,73,NA,1,1807,346,209,2266,NA,NA,4,2,158,NA,NA,NA,2,NA,NA,NA,NA,NA,155,NA,34,10,NA,24,NA,NA,NA,193,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM035-2,NA,197,NA,NA,NA,683,4,270,NA,31,NA,NA,47,42,360,NA,290,571,101,888,NA,7,NA,NA,31,370,476,36,NA,NA,2185,757,432,21,NA,NA,5,5,1,161,11,NA,787,596,123,2961,NA,2,5,3,67,NA,NA,NA,5,NA,NA,NA,NA,NA,154,NA,33,6,NA,8,NA,NA,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM035-3,NA,233,NA,NA,NA,406,2,267,NA,27,NA,NA,82,30,481,NA,221,369,49,923,NA,17,1,NA,44,532,171,13,NA,NA,2188,934,268,7,NA,NA,4,4,NA,178,5,NA,1435,401,75,2940,NA,NA,4,2,135,NA,NA,NA,6,NA,7,NA,NA,NA,226,NA,37,10,NA,8,NA,NA,NA,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM036-1,NA,16,1,NA,NA,600,121,681,3,30,NA,NA,70,59,369,NA,135,14,129,811,2,65,1,NA,56,229,167,191,NA,148,2389,691,260,NA,NA,NA,3,19,NA,59,NA,NA,547,546,148,1825,NA,1,2265,1,159,27,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,15,NA,12,7,NA,12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM036-2,12,9,NA,NA,NA,488,136,222,NA,65,NA,1,30,19,315,NA,249,2,81,575,NA,62,NA,NA,18,561,292,118,NA,79,3542,711,484,NA,NA,NA,NA,NA,1,40,NA,NA,260,541,46,3328,NA,NA,234,NA,105,55,NA,NA,16,NA,NA,NA,NA,NA,5,NA,NA,49,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,19,NA,10,2,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM036-3,23,4,NA,NA,NA,274,75,491,NA,25,NA,NA,41,23,157,NA,167,2,158,600,NA,73,NA,NA,38,757,129,35,NA,227,3821,560,523,NA,NA,NA,4,1,NA,90,NA,NA,416,276,52,2980,NA,1,413,1,102,111,NA,NA,17,NA,NA,NA,NA,NA,7,1,NA,17,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,30,5,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM037-1,26,43,NA,NA,NA,305,NA,627,NA,13,NA,NA,194,28,493,1,NA,10,192,1176,NA,65,NA,NA,NA,154,197,62,NA,22,1647,810,675,105,NA,NA,NA,41,71,11,12,NA,653,56,202,2553,NA,32,2230,NA,94,NA,13,3,NA,NA,1,NA,NA,NA,NA,NA,NA,9,NA,39,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM037-2,92,257,NA,NA,NA,2976,3,300,NA,89,NA,NA,274,19,289,NA,NA,6,109,211,4,80,NA,NA,NA,682,865,13,1,51,229,363,172,17,NA,NA,10,190,47,10,12,2,521,97,502,3251,NA,13,894,NA,60,NA,8,2,NA,NA,NA,NA,NA,NA,NA,50,NA,43,NA,52,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM037-3,3,14,NA,NA,NA,804,NA,579,3,25,NA,NA,162,18,727,NA,NA,7,187,1346,NA,155,4,NA,NA,46,175,363,NA,99,1657,520,558,81,NA,NA,2,155,25,164,17,NA,995,181,316,2024,NA,99,1007,NA,121,NA,13,16,NA,65,NA,NA,NA,NA,NA,27,NA,26,5,32,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM038-1,NA,697,4,NA,NA,4174,NA,664,NA,143,NA,6,202,NA,396,5,NA,2,23,1,11,NA,21,NA,NA,162,1615,508,12,145,59,462,318,NA,NA,NA,NA,38,NA,328,2,NA,92,2,1150,1044,NA,NA,4,NA,NA,NA,NA,16,NA,NA,417,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,29,117,7,NA,NA,7,NA,NA,NA,1,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
